nom,cate,lat,lon,ico,cod,cod_old,estado
MONTE GRANDE,CO,-7.22499,-79.15323,M,100090,000396,DIFERIDO
PUENTE  MAYGASBAMBA,HLG,-6.67411,-78.52437,H,221110,220307,DIFERIDO
QUEBRADA SHUGAR,PLU,-6.68778,-78.45694,M,100113,153108,DIFERIDO
CHUGUR,PLU,-6.66878,-78.738,M,106077,153208,DIFERIDO
LA CASCARILLA,CO,-5.67175,-78.89767,M,105062,000349,DIFERIDO
CHONTALI,CO,-5.64389,-79.09,M,105065,000250,DIFERIDO
CACAO,HLM,-5.8837,-78.9625,H,220405,220405,DIFERIDO
EL LIMON,CO,-5.91778,-79.31722,M,105057,000241,DIFERIDO
HACIENDA PUCARA,PLU,-6.04167,-79.13389,M,106065,153107,DIFERIDO
SALLIQUE,CO,-5.65886,-79.31264,M,105053,002129,DIFERIDO
COCHALAN,PLU,-5.4654,-78.9888,M,105111,152212,DIFERIDO
COCHALAN,HLG,-5.4651,-78.9885,H,220814,220815,DIFERIDO
LIVES,PLU,-7.0802,-79.04045,M,107055,153111,DIFERIDO
CIRATO,HLG,-6.65579,-79.07395,H,106122,200909,DIFERIDO
CHANCAY BAÑOS,CO,-6.575,-78.86722,M,106022,000395,DIFERIDO
SALCCA,PE,-14.16997,-71.23187,M,114131,114131,DIFERIDO
CHACLLABAMBA,CO,-13.10855,-71.72,M,113139,155518,DIFERIDO
CHONTACHACA,CO,-13.02389,-71.46778,M,100030,006671,DIFERIDO
HUANCALPI,CO,-12.58029,-75.24179,M,112142,156126,DIFERIDO
HUACHOS,CO,-13.2206,-75.53348,M,113067,151503,DIFERIDO
SAN JUAN DE CASTROVIRREYNA,CO,-13.21198,-75.62758,M,113082,156114,DIFERIDO
CHOCLOCOCHA,CO,-13.1588,-75.07145,M,113091,156130,DIFERIDO
PAUCARBAMBA,CO,-12.55573,-74.53592,M,112066,000658,DIFERIDO
CORDOVA,PLU,-14.04061,-75.18698,M,114065,157101,DIFERIDO
TUNEL CERO,CO,-13.25932,-75.08596,M,113016,000647,DIFERIDO
CUSICANCHA,CO,-13.50399,-75.29625,M,113086,156121,DIFERIDO
CHALLACA PLU,PLU,-13.7896,-75.40029,M,100025,000009,DIFERIDO
CHALLACA CO,CO,-13.79047,-75.38212,M,113128,006640,DIFERIDO
SANTIAGO DE CHOCORVOS,CO,-13.83308,-75.25083,M,113088,156123,DIFERIDO
TAMBO,CO,-13.69163,-75.27418,M,113087,156122,DIFERIDO
CHINCHAVITO,HLM,-9.515,-75.9425,H,230003,230003,DIFERIDO
